Subzone,Population
Admiralty,81230
Airport Road,0
Alexandra Hill,76390
Alexandra North,11500
Aljunied,228680
Anak Bukit,102120
Anchorvale,291760
Ang Mo Kio Town Centre,25030
Anson,80
Bahar,0
Balestier,171970
Bangkit,121400
Bayfront Subzone,0
Bayshore,32030
Bedok North,467870
Bedok Reservoir,133670
Bedok South,250230
Bencoolen,7230
Bendemeer,207190
Benoi Sector,0
Bidadari,43310
Bishan East,157420
Boat Quay,640
Boon Keng,71830
Boon Lay Place,174860
Boon Teck,84860
Boulevard,2150
Braddell,54400
Bras Basah,20
Brickland,0
Brickworks,184330
Bugis,5750
Bukit Batok Central,161020
Bukit Batok East,72330
Bukit Batok South,83390
Bukit Batok West,86090
Bukit Ho Swee,79430
Bukit Merah,5980
Cairnhill,18530
Cecil,2160
Central Subzone,5710
Central Water Catchment,0
Changi Airport,0
Changi Bay,0
Changi Point,2870
Changi West,5580
Chatsworth,30910
Cheng San,161660
Chin Bee,0
China Square,7690
Chinatown,59510
Choa Chu Kang Central,114350
Choa Chu Kang North,175600
Chong Boon,150050
City Hall,530
City Terminals,20
Clarke Quay,460
Cleantech,0
Clementi Central,81830
Clementi North,184200
Clementi West,80070
Clementi Woods,105030
Clifford Pier,0
Commonwealth,39270
Compassvale,118060
Coney Island,0
Coronation Road,29930
Crawford,45070
Dairy Farm,31480
Defu Industrial Park,10
Depot Road,34940
Dhoby Ghaut,2150
Dover,61010
Dunearn,16090
East Coast,0
Everton Park,43230
Faber,32300
Fajar,158570
Farrer Court,32520
Farrer Park,14860
Fernvale,387490
Flora Drive,65160
Forest Hill,0
Fort Canning,840
Frankel,140170
Gali Batu,40
Garden,1620
Geylang Bahru,62310
Geylang East,169620
Ghim Moh,78910
Gombak,51280
Goodwood Park,5920
Greenwood Park,100
Guilin,66010
Gul Basin,0
Gul Circle,20
Henderson Hill,75760
Hillcrest,39510
Hillview,82650
Holland Drive,71990
Holland Road,46600
Hong Kah,302820
Hong Kah North,147970
Hougang Central,25540
Hougang East,138590
Hougang West,257710
Institution Hill,15030
International Business Park,10
Istana Negara,50
Jelebu,165530
Joo Koon,20
Joo Seng,40790
Jurong Gateway,2270
Jurong Island And Bukom,10
Jurong Port,0
Jurong River,0
Jurong West Central,368710
Kaki Bukit,208010
Kallang Bahru,20
Kallang Way,40
Kampong Bugis,9170
Kampong Glam,460
Kampong Java,54930
Kampong Tiong Bahru,55680
Kampong Ubi,81890
Kangkar,183080
Katong,37840
Keat Hong,223310
Kebun Bahru,125720
Kembangan,187080
Kent Ridge,9020
Khatib,58860
Kian Teck,40
Kim Keat,52230
Kovan,116680
Kranji,0
Lakeside (Business),0
Lakeside (Leisure),2240
Lavender,52050
Leedon Park,27620
Leonie Hill,15360
Lim Chu Kang,40
Little India,17730
Liu Fang,10
Lorong 8 Toa Payoh,40200
Lorong Ah Soo,171650
Lorong Chuan,34240
Lorong Halus,0
Lorong Halus North,0
Lower Seletar,102660
Loyang East,8220
Loyang West,2180
Mackenzie,520
Macpherson,154970
Malcolm,12880
Mandai East,0
Mandai Estate,8470
Mandai West,0
Margaret Drive,140050
Marina Centre,20
Marina East,0
Marina East (Mp),0
Marina South,0
Marine Parade,145270
Maritime Square,19310
Marymount,158200
Matilda,298640
Maxwell,0
Mei Chin,88500
Midview,205960
Monk's Hill,4730
Moulmein,45300
Mount Emily,8240
Mount Pleasant,2860
Mountbatten,40470
Murai,2400
Nassim,42360
National University Of S'pore,1160
Nature Reserve,15950
Nee Soon,4230
Newton Circus,1250
Nicoll,1230
North Coast,68560
North-Eastern Islands,40
Northland,162460
Northshore,109900
One North,4040
One Tree Hill,9300
Orange Grove,8370
Oxley,6530
Pandan,20
Pang Sua,20
Park,0
Pasir Panjang 1,19030
Pasir Panjang 2,14170
Pasir Ris Central,169110
Pasir Ris Drive,306670
Pasir Ris Park,31540
Pasir Ris Wafer Fab Park,10
Pasir Ris West,193510
Paterson,1310
Paya Lebar East,0
Paya Lebar North,20
Paya Lebar West,0
Pearl's Hill,29830
Pei Chun,59640
Peng Siang,199290
Penjuru Crescent,10
People's Park,1160
Phillip,10
Pioneer Sector,10
Plab,0
Plantation,46200
Port,470
Potong Pasir,69640
Pulau Punggol Barat,0
Pulau Punggol Timor,0
Pulau Seletar,0
Punggol Canal,0
Punggol Field,279230
Punggol Town Centre,142790
Queensway,1050
Raffles Place,40
Redhill,59880
Reservoir View,10
Ridout,6090
Rivervale,359210
Robertson Quay,16420
Rochor Canal,0
Safti,0
Samulun,0
Saujana,145910
Selegie,60
Seletar,1140
Seletar Aerospace Park,10
Seletar Hills,61640
Semakau,0
Sembawang Central,203640
Sembawang East,137840
Sembawang Hills,27820
Sembawang North,154220
Sembawang Springs,38230
Sembawang Straits,9530
Sengkang Town Centre,353720
Sengkang West,0
Senja,142030
Sennett,88190
Senoko North,10
Senoko South,30
Senoko West,30
Sentosa,9910
Serangoon Central,126270
Serangoon Garden,186040
Serangoon North,91240
Serangoon North Ind Estate,10
Shangri-La,103890
Shipyard,0
Siglap,29580
Simei,197600
Simpang North,0
Simpang South,0
Singapore General Hospital,0
Singapore Polytechnic,640
Somerset,700
Southern Group,0
Springleaf,17480
Straits View,0
Sudong,0
Sungei Road,11350
Sunset Way,28060
Swiss Club,24510
Tagore,31920
Tai Seng,67730
Taman Jurong,219680
Tampines East,749750
Tampines North,196470
Tampines West,476480
Tanglin,2350
Tanglin Halt,34950
Tanjong Irau,0
Tanjong Pagar,3730
Tanjong Rhu,52620
Teban Gardens,104870
Teck Whye,146520
Telok Blangah Drive,113340
Telok Blangah Rise,67230
Telok Blangah Way,49970
Tengah Industrial Estate,0
Tengeh,0
The Wharves,0
Tiong Bahru,71150
Tiong Bahru Station,84540
Toa Payoh Central,159690
Toa Payoh West,76670
Toh Guan,82960
Toh Tuck,20
Total,46202760
Townsville,119990
Trafalgar,281490
Tuas Bay,10
Tuas North,20
Tuas Promenade,10
Tuas View,10
Tuas View Extension,10
Tukang,10
Turf Club,2740
Tyersall,17710
Ulu Pandan,45170
Upper Paya Lebar,90620
Upper Thomson,149570
Victoria,9710
Waterway East,314090
Wenya,48690
West Coast,40530
Woodgrove,183640
Woodlands East,588330
Woodlands Regional Centre,0
Woodlands South,226240
Woodlands West,218930
Woodleigh,13720
Xilin,7060
Yew Tee,228320
Yio Chu Kang,10
Yio Chu Kang East,17500
Yio Chu Kang North,0
Yio Chu Kang West,128840
Yishun Central,13990
Yishun East,423380
Yishun South,242160
Yishun West,296930
Yuhua East,135870
Yuhua West,104820
Yunnan,383820
